02-05-20,06:19:46,status, connected, market, lastPrice, markPrice, balance, realisedPnl, unrealisedPnl, position, contractNum, contractCost, openOrders
02-05-20,06:19:47,Starting, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
02-05-20,06:19:48,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:49,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:50,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:51,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:52,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:53,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:54,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:55,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:56,Running, True, Open, 8839, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:57,Running, True, Open, 8839, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:58,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:19:59,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:20:00,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:20:01,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:20:02,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:20:03,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
02-05-20,06:20:04,Running, True, Open, 8838.5, 8841.98, 4364006, 0, 0, 0, 0, 0, 0
